PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI	InEmbaseResults?
37934099	A 20-year Follow-up of the International Early Lung Cancer Action Program (I-ELCAP)	"Henschke CI, Yip R, Shaham D, Markowitz S, Cervera Deval J, Zulueta JJ, Seijo LM, Aylesworth C, Klingler K, Andaz S, Chin C, Smith JP, Taioli E, Altorki N, Flores RM, Yankelevitz DF; International Early Lung Cancer Action Program Investigators."	Radiology. 2023 Nov;309(2):e231988. doi: 10.1148/radiol.231988.	Henschke CI	Radiology	2023	11/7/23	PMC10698500		10.1148/radiol.231988	TRUE
37561144	Positron emission tomography in the diagnosis and follow-up of transthyretin amyloid cardiomyopathy patients: A systematic review	"Tingen HSA, Tubben A, van 't Oever JH, Pastoor EM, van Zon PPA, Nienhuis HLA, van der Meer P, Slart RHJA."	Eur J Nucl Med Mol Imaging. 2023 Dec;51(1):93-109. doi: 10.1007/s00259-023-06381-3. Epub 2023 Aug 10.	Tingen HSA	Eur J Nucl Med Mol Imaging	2023	8/10/23	PMC10684414		10.1007/s00259-023-06381-3	TRUE
31624116	Incidental Brain MRI Findings in Children: A Systematic Review and Meta-Analysis	"Dangouloff-Ros V, Roux CJ, Boulouis G, Levy R, Nicolas N, Lozach C, Grevent D, Brunelle F, Boddaert N, Naggara O."	AJNR Am J Neuroradiol. 2019 Nov;40(11):1818-1823. doi: 10.3174/ajnr.A6281. Epub 2019 Oct 17.	Dangouloff-Ros V	AJNR Am J Neuroradiol	2019	10/19/19	PMC6975122		10.3174/ajnr.A6281	TRUE
35907273	Patient-level factors influencing adherence to follow-up imaging recommendations	"Calvillo AÁ, Kodaverdian LC, Garcia R, Lichtensztajn DY, Bucknor MD."	Clin Imaging. 2022 Oct;90:5-10. doi: 10.1016/j.clinimag.2022.07.006. Epub 2022 Jul 25.	Calvillo AÁ	Clin Imaging	2022	7/30/22			10.1016/j.clinimag.2022.07.006	TRUE
33278340	Management Strategies to Promote Follow-Up Care for Incidental Findings: A Scoping Review	"Crable EL, Feeney T, Harvey J, Grim V, Drainoni ML, Walkey AJ, Steiling K, Drake FT."	J Am Coll Radiol. 2021 Apr;18(4):566-579. doi: 10.1016/j.jacr.2020.11.006. Epub 2020 Dec 2.	Crable EL	J Am Coll Radiol	2021	12/5/20			10.1016/j.jacr.2020.11.006	TRUE
33307581	Soft Tissue Sarcoma Follow-up Imaging: Strategies to Distinguish Post-treatment Changes from Recurrence	"Noebauer-Huhmann IM, Chaudhary SR, Papakonstantinou O, Panotopoulos J, Weber MA, Lalam RK, Albtoush OM, Fueger BJ, Szomolanyi P, Grieser T, Bloem JL."	Semin Musculoskelet Radiol. 2020 Dec;24(6):627-644. doi: 10.1055/s-0040-1721464. Epub 2020 Dec 11.	Noebauer-Huhmann IM	Semin Musculoskelet Radiol	2020	12/11/20			10.1055/s-0040-1721464	TRUE
29502651	Determining Adherence to Follow-up Imaging Recommendations	"Mabotuwana T, Hombal V, Dalal S, Hall CS, Gunn M."	J Am Coll Radiol. 2018 Mar;15(3 Pt A):422-428. doi: 10.1016/j.jacr.2017.11.022.	Mabotuwana T	J Am Coll Radiol	2018	3/6/18			10.1016/j.jacr.2017.11.022	TRUE
34115055	"Magnetic Resonance Imaging for the Planning, Execution, and Follow-up of Implant-Based Oral Rehabilitation: Systematic Review"	"de Carvalho E Silva Fuglsig JM, Wenzel A, Hansen B, Lund TE, Spin-Neto R."	Int J Oral Maxillofac Implants. 2021 May-Jun;36(3):432-441. doi: 10.11607/jomi.8536.	de Carvalho E Silva Fuglsig JM	Int J Oral Maxillofac Implants	2021	6/11/21			10.11607/jomi.8536	TRUE
30860895	Automated Tracking of Follow-Up Imaging Recommendations	"Mabotuwana T, Hall CS, Hombal V, Pai P, Raghavan UN, Regis S, McKee B, Dalal S, Wald C, Gunn ML."	AJR Am J Roentgenol. 2019 Jun;212(6):1287-1294. doi: 10.2214/AJR.18.20586. Epub 2019 Mar 12.	Mabotuwana T	AJR Am J Roentgenol	2019	3/13/19			10.2214/AJR.18.20586	TRUE
35235528	Clinically Significant Incidental Findings on CT Imaging During TAVI Work-up: A Systematic Review and Meta-Analysis	"Ko K, Zwetsloot PP, Voskuil M, Stella P, Leiner T, Kraaijeveld A."	J Invasive Cardiol. 2022 Mar;34(3):E218-E225. doi: 10.25270/jic/21.00161.	Ko K	J Invasive Cardiol	2022	3/2/22			10.25270/jic/21.00161	TRUE
